  0.004161, BNO0_UnitAccX, BNO0_UnitAccY, BNO0_UnitAccZ, BNO0_RawAccMag, BNO0_GyrX, BNO0_GyrY, BNO0_GyrZ, BNO0_MagX, BNO0_MagY, BNO0_MagZ, BNO1_UnitAccX, BNO1_UnitAccY, BNO1_UnitAccZ, BNO1_RawAccMag, BNO1_GyrX, BNO1_GyrY, BNO1_GyrZ, BNO1_MagX, BNO1_MagY, BNO1_MagZ, BNO2_UnitAccX, BNO2_UnitAccY, BNO2_UnitAccZ, BNO2_RawAccMag, BNO2_GyrX, BNO2_GyrY, BNO2_GyrZ, BNO2_MagX, BNO2_MagY, BNO2_MagZ, BNO3_UnitAccX, BNO3_UnitAccY, BNO3_UnitAccZ, BNO3_RawAccMag, BNO3_GyrX, BNO3_GyrY, BNO3_GyrZ, BNO3_MagX, BNO3_MagY, BNO3_MagZ, MPU0_UnitAccX, MPU0_UnitAccY, MPU0_UnitAccZ, MPU0_RawAccMag, MPU0_GyrX, MPU0_GyrY, MPU0_GyrZ, MPU1_UnitAccX, MPU1_UnitAccY, MPU1_UnitAccZ, MPU1_RawAccMag, MPU1_GyrX, MPU1_GyrY, MPU1_GyrZ
 30.363278, 0.575        , -0.591       , -0.565       ,        2506.71, 0.000    , 0.224    , -0.448   , -0.465   ,     0.688, 0.557    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.000    , 0.224    , -0.112   , -0.468   , 0.615    , 0.635    , 0.035        , -0.862       , -0.505       ,        2502.95, 0.112    , 0.224    , -0.224   , -0.237   ,     0.624, -0.745   , -0.188       , -0.028       , -0.982       ,        2490.34, 0.000    , 0.000    , 0.000    , -0.351   , -0.103   ,     0.931, 0.228        , 0.281        , 0.932        ,         10.942, 5.664    , 0.305    , -1.603   , 0.461        , 0.375        , 0.804        ,          9.902, -5.588   , -4.687   , -0.931
 30.384771, 0.574        , -0.590       , -0.568       ,        2512.96, 0.000    , 0.224    , -0.112   , -0.384   ,     0.737, 0.555    , 0.702        , -0.514       , -0.494       ,        2486.01, 0.000    , -0.112   , 0.112    , -0.427   , 0.601    , 0.676    , 0.035        , -0.863       , -0.503       ,        2512.44, 0.112    , 0.000    , 0.224    , -0.253   ,     0.633, -0.732   , -0.193       , -0.028       , -0.981       ,        2481.45, 0.000    , 0.000    , 0.000    , -0.344   , -0.122   ,     0.931, 0.228        , 0.278        , 0.933        ,         10.954, 5.298    , 0.015    , -1.481   , 0.460        , 0.375        , 0.805        ,          9.922, -5.771   , -4.733   , -0.565
 30.407738, 0.573        , -0.593       , -0.566       ,        2502.13, 0.000    , -0.448   , 0.224    , -0.397   ,     0.777, 0.489    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.112    , 0.000    , 0.336    , -0.456   , 0.624    , 0.635    , 0.035        , -0.863       , -0.503       ,        2512.44, 0.000    , 0.224    , 0.224    , -0.256   ,     0.617, -0.744   , -0.193       , -0.028       , -0.981       ,        2481.45, 0.000    , 0.000    , 0.000    , -0.347   , -0.108   ,     0.932, 0.226        , 0.278        , 0.934        ,         10.937, 5.481    , 0.107    , -1.420   , 0.458        , 0.372        , 0.807        ,          9.917, -5.573   , -4.748   , -0.794
 30.429705, 0.574        , -0.590       , -0.568       ,        2512.96, 0.000    , -0.112   , 0.112    , -0.360   ,     0.725, 0.587    , 0.702        , -0.514       , -0.494       ,        2486.01, 0.000    , 0.000    , 0.000    , -0.461   , 0.645    , 0.610    , 0.035        , -0.863       , -0.503       ,        2512.44, 0.112    , 0.112    , -0.112   , -0.253   ,     0.636, -0.729   , -0.192       , -0.028       , -0.981       ,        2492.24, 0.000    , 0.000    , 0.000    , -0.343   , -0.109   ,     0.933, 0.230        , 0.278        , 0.933        ,         10.921, 5.603    , 0.153    , -1.573   , 0.461        , 0.373        , 0.805        ,          9.923, -5.557   , -4.611   , -0.870
 30.452572, 0.571        , -0.595       , -0.565       ,        2508.07, 0.224    , 0.000    , -0.112   , -0.388   ,     0.725, 0.569    , 0.700        , -0.515       , -0.495       ,        2479.71, -0.112   , 0.000    , 0.000    , -0.483   , 0.617    , 0.622    , 0.031        , -0.867       , -0.497       ,        2523.55, 0.448    , -0.112   , -0.112   , -0.237   ,     0.631, -0.739   , -0.188       , -0.028       , -0.982       ,        2490.34, 0.000    , 0.000    , 0.000    , -0.345   , -0.115   ,     0.931, 0.228        , 0.280        , 0.932        ,         10.944, 5.573    , 0.015    , -1.328   , 0.460        , 0.374        , 0.805        ,          9.905, -5.496   , -4.931   , -0.656
 30.474893, 0.571        , -0.595       , -0.565       ,        2508.07, -0.560   , -0.224   , -0.224   , -0.434   ,     0.725, 0.535    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.000    , 0.000    , 0.000    , -0.474   , 0.625    , 0.620    , 0.031        , -0.863       , -0.504       ,        2511.25, -0.336   , -0.224   , 0.000    , -0.237   ,     0.614, -0.753   , -0.192       , -0.028       , -0.981       ,        2492.24, 0.000    , 0.000    , 0.000    , -0.350   , -0.110   ,     0.930, 0.228        , 0.279        , 0.933        ,         10.936, 5.405    , 0.183    , -1.496   , 0.460        , 0.376        , 0.804        ,          9.937, -5.710   , -4.733   , -0.641
 30.496237, 0.573        , -0.593       , -0.566       ,        2502.13, 0.112    , -0.224   , 0.224    , -0.431   ,     0.709, 0.559    , 0.703        , -0.511       , -0.495       ,        2481.59, 0.000    , 0.000    , 0.000    , -0.503   , 0.589    , 0.633    , 0.035        , -0.860       , -0.508       ,        2508.02, 0.112    , 0.000    , 0.112    , -0.247   ,     0.627, -0.739   , -0.188       , -0.024       , -0.982       ,        2490.11, 0.000    , 0.000    , 0.000    , -0.344   , -0.105   ,     0.933, 0.227        , 0.279        , 0.933        ,         10.949, 5.542    , 0.351    , -1.725   , 0.458        , 0.374        , 0.806        ,          9.938, -5.618   , -4.611   , -0.733
 30.518975, 0.572        , -0.593       , -0.567       ,        2518.88, 0.000    , 0.112    , 0.112    , -0.394   ,     0.706, 0.588    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.000    , 0.000    , 0.000    , -0.435   , 0.650    , 0.624    , 0.039        , -0.863       , -0.503       ,        2512.81, 0.224    , 0.112    , 0.000    , -0.239   ,     0.629, -0.740   , -0.189       , -0.028       , -0.982       ,        2479.54, 0.000    , 0.000    , 0.000    , -0.354   , -0.099   ,     0.930, 0.228        , 0.280        , 0.932        ,         10.967, 5.649    , 0.351    , -1.679   , 0.460        , 0.375        , 0.805        ,          9.928, -5.649   , -4.733   , -0.824
 30.542111, 0.572        , -0.593       , -0.567       ,        2518.88, 0.112    , 0.000    , -0.112   , -0.423   ,     0.709, 0.564    , 0.701        , -0.512       , -0.496       ,        2473.87, 0.000    , 0.000    , 0.000    , -0.431   , 0.644    , 0.631    , 0.035        , -0.862       , -0.505       ,        2502.95, -0.112   , 0.224    , 0.112    , -0.241   ,     0.637, -0.732   , -0.192       , -0.028       , -0.981       ,        2492.24, 0.000    , 0.000    , 0.000    , -0.353   , -0.110   ,     0.929, 0.228        , 0.283        , 0.932        ,         10.936, 5.939    , 0.427    , -1.588   , 0.459        , 0.373        , 0.807        ,          9.950, -5.359   , -4.840   , -1.023
 30.563943, 0.574        , -0.590       , -0.568       ,        2512.96, 0.000    , 0.112    , -0.224   , -0.415   ,     0.721, 0.555    , 0.704        , -0.512       , -0.492       ,        2475.95, 0.000    , 0.000    , 0.000    , -0.416   , 0.609    , 0.675    , 0.031        , -0.862       , -0.505       ,        2503.48, -0.336   , 0.112    , -0.112   , -0.245   ,     0.621, -0.744   , -0.188       , -0.024       , -0.982       ,        2490.11, 0.000    , 0.000    , 0.000    , -0.357   , -0.102   ,     0.929, 0.229        , 0.282        , 0.932        ,         10.945, 5.786    , 0.763    , -2.061   , 0.459        , 0.375        , 0.805        ,          9.940, -5.634   , -4.382   , -1.160
 30.586645, 0.574        , -0.594       , -0.564       ,        2512.63, 0.448    , -0.112   , 0.000    , -0.409   ,     0.709, 0.575    , 0.703        , -0.515       , -0.491       ,        2481.79, 0.000    , 0.000    , 0.000    , -0.489   , 0.610    , 0.623    , 0.035        , -0.862       , -0.505       ,        2502.95, 0.448    , 0.112    , -0.112   , -0.253   ,     0.623, -0.741   , -0.188       , -0.032       , -0.982       ,        2490.64, 0.000    , 0.000    , 0.000    , -0.350   , -0.107   ,     0.931, 0.227        , 0.281        , 0.932        ,         10.930, 5.634    , 0.336    , -1.695   , 0.459        , 0.372        , 0.806        ,          9.902, -5.511   , -4.550   , -1.069
 30.609155, 0.571        , -0.595       , -0.565       ,        2508.07, 0.000    , 0.336    , -0.112   , -0.401   ,     0.697, 0.594    , 0.702        , -0.514       , -0.494       ,        2486.01, 0.000    , 0.000    , 0.000    , -0.464   , 0.615    , 0.638    , 0.031        , -0.863       , -0.504       ,        2511.25, 0.224    , 0.000    , -0.112   , -0.247   ,     0.619, -0.745   , -0.192       , -0.032       , -0.981       ,        2492.54, 0.000    , 0.000    , 0.000    , -0.350   , -0.104   ,     0.931, 0.226        , 0.279        , 0.933        ,         10.944, 5.695    , 0.092    , -1.374   , 0.457        , 0.373        , 0.808        ,          9.944, -5.313   , -4.809   , -1.053
 30.630103, 0.571        , -0.595       , -0.565       ,        2508.07, 0.112    , 0.000    , -0.224   , -0.425   ,     0.708, 0.564    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.000    , 0.000    , 0.000    , -0.499   , 0.585    , 0.639    , 0.031        , -0.863       , -0.504       ,        2511.25, 0.000    , 0.112    , -0.112   , -0.245   ,     0.636, -0.732   , -0.192       , -0.024       , -0.981       ,        2492.01, 0.000    , 0.000    , 0.000    , -0.337   , -0.110   ,     0.935, 0.228        , 0.280        , 0.933        ,         10.922, 5.664    , 0.351    , -1.740   , 0.457        , 0.374        , 0.807        ,          9.934, -5.588   , -4.458   , -0.977
 30.652986, 0.567        , -0.595       , -0.569       ,        2508.05, -0.112   , -0.112   , 0.112    , -0.416   ,     0.730, 0.543    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.000    , 0.000    , 0.000    , -0.454   , 0.599    , 0.659    , 0.031        , -0.863       , -0.504       ,        2511.25, 0.560    , -0.112   , -0.112   , -0.229   ,     0.638, -0.736   , -0.192       , -0.032       , -0.981       ,        2492.54, 0.000    , 0.000    , 0.000    , -0.343   , -0.108   ,     0.933, 0.227        , 0.279        , 0.933        ,         10.927, 5.557    , 0.198    , -1.542   , 0.459        , 0.374        , 0.806        ,          9.928, -5.573   , -4.733   , -0.779
 30.673423, 0.572        , -0.591       , -0.569       ,        2507.22, -0.112   , -0.112   , 0.000    , -0.417   ,     0.738, 0.531    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.000    , 0.000    , 0.000    , -0.474   , 0.586    , 0.657    , 0.031        , -0.866       , -0.499       ,        2515.75, 0.000    , 0.224    , 0.000    , -0.237   ,     0.631, -0.739   , -0.192       , -0.024       , -0.981       ,        2492.01, 0.000    , 0.000    , 0.000    , -0.352   , -0.099   ,     0.931, 0.227        , 0.281        , 0.933        ,         10.932, 5.679    , 0.321    , -1.588   , 0.457        , 0.375        , 0.807        ,          9.912, -5.496   , -4.763   , -0.901
 30.696631, 0.572        , -0.593       , -0.567       ,        2518.88, -0.224   , 0.000    , 0.112    , -0.435   ,     0.717, 0.545    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.000    , 0.000    , 0.000    , -0.406   , 0.628    , 0.664    , 0.035        , -0.862       , -0.505       ,        2502.95, 0.112    , 0.000    , 0.000    , -0.233   ,     0.629, -0.742   , -0.188       , -0.028       , -0.982       ,        2490.34, 0.000    , 0.000    , 0.000    , -0.343   , -0.112   ,     0.933, 0.229        , 0.281        , 0.932        ,         10.950, 5.740    , 0.321    , -1.695   , 0.459        , 0.375        , 0.805        ,          9.928, -5.466   , -4.809   , -0.855
